"Name","Type","Id","Native"
"Azure Log Analytics","connector","/providers/Microsoft.PowerApps/apis/shared_azureloganalytics","True"
"Azure Log Analytics Data Collector","connector","/providers/Microsoft.PowerApps/apis/shared_azureloganalyticsdatacollector","True"
"Azure Monitor Logs","connector","/providers/Microsoft.PowerApps/apis/shared_azuremonitorlogs","True"
"Azure Database for MySQL","connector","/providers/Microsoft.PowerApps/apis/shared_azuremysql","True"
"Azure Queues","connector","/providers/Microsoft.PowerApps/apis/shared_azurequeues","True"
"Azure Table Storage","connector","/providers/Microsoft.PowerApps/apis/shared_azuretables","True"
"Azure VM","connector","/providers/Microsoft.PowerApps/apis/shared_azurevm","True"
"Badgr (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_badgrip","False"
"Basecamp 3","connector","/providers/Microsoft.PowerApps/apis/shared_basecamp","False"
"Basecamp 2","connector","/providers/Microsoft.PowerApps/apis/shared_basecamp2","False"
"Benchmark Email","connector","/providers/Microsoft.PowerApps/apis/shared_benchmarkemail","False"
"ProjectWise Design Integration","connector","/providers/Microsoft.PowerApps/apis/shared_bentley","False"
"BillsPLS","connector","/providers/Microsoft.PowerApps/apis/shared_billspls","False"
"Binance.us (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_binanceusip","False"
"BIN Checker (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_bincheckerip","False"
"Bing Maps","connector","/providers/Microsoft.PowerApps/apis/shared_bingmaps","False"
"Bing Search","connector","/providers/Microsoft.PowerApps/apis/shared_bingsearch","False"
"Bitbucket","connector","/providers/Microsoft.PowerApps/apis/shared_bitbucket","False"
"Bitly","connector","/providers/Microsoft.PowerApps/apis/shared_bitly","False"
"BitlyIP (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_bitlyip","False"
"Bitvore Cellenus","connector","/providers/Microsoft.PowerApps/apis/shared_bitvorecellenus","False"
"BizTalkServer","connector","/providers/Microsoft.PowerApps/apis/shared_biztalk","False"
"AtBot Logic","connector","/providers/Microsoft.PowerApps/apis/shared_bizzy","False"
"AtBot Admin","connector","/providers/Microsoft.PowerApps/apis/shared_bizzyadmin","False"
"Blackbaud Church Management","connector","/providers/Microsoft.PowerApps/apis/shared_blackbaudchurchmanag","False"
"Blackbaud Raisers Edge NXT Constituents","connector","/providers/Microsoft.PowerApps/apis/shared_blackbaudconstituent","False"
"Blackbaud Raisers Edge NXT Documents","connector","/providers/Microsoft.PowerApps/apis/shared_blackbauddocuments","False"
"Blackbaud Raisers Edge NXT Events","connector","/providers/Microsoft.PowerApps/apis/shared_blackbaudevents","False"
"Blackbaud Raisers Edge NXT Fundraising","connector","/providers/Microsoft.PowerApps/apis/shared_blackbaudfundraising","False"
"Blackbaud Raisers Edge NXT Gifts","connector","/providers/Microsoft.PowerApps/apis/shared_blackbaudgifts","False"
"Blackbaud Raisers Edge NXT Interactions","connector","/providers/Microsoft.PowerApps/apis/shared_blackbaudinteraction","False"
"Blackbaud Raisers Edge NXT Lists","connector","/providers/Microsoft.PowerApps/apis/shared_blackbaudlists","False"
"Blackbaud Raisers Edge NXT Prospects","connector","/providers/Microsoft.PowerApps/apis/shared_blackbaudprospects","False"
"Blackbaud Raisers Edge NXT","connector","/providers/Microsoft.PowerApps/apis/shared_blackbaudraisersedge","False"
"Blackbaud SKY Add-ins","connector","/providers/Microsoft.PowerApps/apis/shared_blackbaudskyaddins","False"
"Corda Blockchain","connector","/providers/Microsoft.PowerApps/apis/shared_blockchaincorda","False"
"Ethereum Blockchain","connector","/providers/Microsoft.PowerApps/apis/shared_blockchainethereum","False"
"Blogger","connector","/providers/Microsoft.PowerApps/apis/shared_blogger","False"
"boomapp connect","connector","/providers/Microsoft.PowerApps/apis/shared_boomappconnect","False"
"Box","connector","/providers/Microsoft.PowerApps/apis/shared_box","False"
"bttn","connector","/providers/Microsoft.PowerApps/apis/shared_bttn","False"
"Bttn ONE","connector","/providers/Microsoft.PowerApps/apis/shared_bttnone","False"
"Buffer","connector","/providers/Microsoft.PowerApps/apis/shared_buffer","False"
"BuildingMinds DigitalTwin Core","connector","/providers/Microsoft.PowerApps/apis/shared_buildingminds","False"
"BulkSMS","connector","/providers/Microsoft.PowerApps/apis/shared_bulksms","False"
"Business Assist","connector","/providers/Microsoft.PowerApps/apis/shared_businessassist","False"
"Buy Me A Coffee (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_buymeacoffeeip","False"
"Calendar Pro","connector","/providers/Microsoft.PowerApps/apis/shared_calendarpro","False"
"Calendly","connector","/providers/Microsoft.PowerApps/apis/shared_calendly","False"
"Campfire","connector","/providers/Microsoft.PowerApps/apis/shared_campfire","False"
"CandidateZip Resume/Job Parser","connector","/providers/Microsoft.PowerApps/apis/shared_candidatezip","False"
"Capsule CRM","connector","/providers/Microsoft.PowerApps/apis/shared_capsulecrm","False"
"Captisa Forms","connector","/providers/Microsoft.PowerApps/apis/shared_captisaforms","False"
"CarbonFootprint (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_carbonfootprintip","False"
